Month,Average_Signal_Score
01/12/2015,-0.56031091
01/01/2016,-0.335599081
01/02/2016,-0.756330892
01/03/2016,-0.717135239
01/04/2016,-0.793948675
01/05/2016,-0.547276518
01/06/2016,-1.185365064
01/07/2016,-0.853662831
01/08/2016,-0.886792487
01/09/2016,-1.53598577
01/10/2016,-0.609186993
01/11/2016,-0.839560971
01/12/2016,-0.643105261
01/01/2017,-0.828724925
01/02/2017,-0.72127017
01/03/2017,-1.066498295
01/04/2017,-1.110364365
01/05/2017,-0.642608214
01/06/2017,-0.78785602
01/07/2017,-0.307484378
01/08/2017,-1.001976824
01/09/2017,-0.583910359
01/10/2017,-0.653924023
01/11/2017,-0.893977155
01/12/2017,-0.882445143
01/01/2018,-1.383649951
01/02/2018,-0.458130668
01/03/2018,-0.977547092
01/04/2018,-1.159538629
01/05/2018,-0.152287992
01/06/2018,-0.592292925
01/07/2018,-1.255527887
01/08/2018,-0.692679975
01/09/2018,-1.291696664
01/10/2018,-0.875953568
01/11/2018,-0.863403716
01/12/2018,-0.82309283
01/01/2019,-0.797658575
01/02/2019,-1.344267673
01/03/2019,-0.93776747
01/04/2019,-0.347279953
01/05/2019,-0.625340498
01/06/2019,-0.970601813
01/07/2019,-1.125496179
01/08/2019,-0.792124895
01/09/2019,-0.526248652
01/10/2019,-0.784867923
01/11/2019,-0.931945454
01/12/2019,-1.256873353
01/01/2020,-0.333333333
01/02/2020,-0.794321581
01/03/2020,-0.988606581
01/04/2020,-1.19005763
01/05/2020,-1.417667944
01/06/2020,-0.953209564
01/07/2020,-1.283357
01/08/2020,-1.074376738
01/09/2020,-1.112764282
01/10/2020,-1.19697702
01/11/2020,-1.298508399
01/12/2020,-1.25690473
01/01/2021,-1.103395596
01/02/2021,-0.817470891
01/03/2021,-1.364544363
01/04/2021,-1.391446403
01/05/2021,-1.264031464
01/06/2021,-1.093264449
01/07/2021,-1.180939374
01/08/2021,-1.07180671
01/09/2021,-1.387798599
01/10/2021,-1.448843151
01/11/2021,-1.49857804
01/12/2021,-1.323928007
01/01/2022,-1.189052317
01/02/2022,-1.104825938
01/03/2022,-1.450650196
01/04/2022,-1.042253261
01/05/2022,-1.01001631
01/06/2022,-1.201964267
01/07/2022,-1.189437166
01/08/2022,-1.090932083
01/09/2022,-1.47924252
01/10/2022,-1.305828973
01/11/2022,-0.815752282
01/12/2022,-0.740927794
01/01/2023,-1.246157792
01/02/2023,-1.221804471
01/03/2023,-1.195246645
01/04/2023,-1.204077923
01/05/2023,-1.099430474
01/06/2023,-1.067326518
01/07/2023,-1.33778854
01/08/2023,-0.806925935
01/09/2023,-0.745599796
01/10/2023,-1.229404988
01/11/2023,-1
01/12/2023,0.787134755
01/01/2024,1.495101008
01/02/2024,0.766449974
01/03/2024,2.348968095
01/04/2024,1.688574968
01/05/2024,1.395171916
01/06/2024,1.500056771
01/07/2024,0.694484091
01/08/2024,1.482781141
01/09/2024,1.431508236
01/10/2024,1.148425123
01/11/2024,0.833590395
01/12/2024,0.822951993
01/01/2025,1.13350363
01/02/2025,1.959823792
01/03/2025,1.297372045
01/04/2025,0.930375898
01/05/2025,0.947600086
01/06/2025,1.080279291
01/07/2025,1.16689745
01/08/2025,1.466777562
01/09/2025,0.763994891
01/10/2025,0.147012753
01/11/2025,0.493244553
01/12/2025,0.272725461
01/01/2026,0.391527834
01/02/2026,0.505022406
01/03/2026,0.767322003
01/04/2026,0.233763804
